#ofNodes,DCvPR,DCvDgSq,DCvM,DCvSD,DCvSK,DCvMSD,PRvDgSq,PRvM,PRvSD,PRvSK,PRvMSD,DgSqvM,DgSqvSD,DgSqvSK,DgSqvMSD,MvSD,MvSK,MvMSD,SDvSK,SDvMSD,SKvMSD
5,0.47928316,0.892259474,0.843592205,0.441222575,0.482788101,0.929521161,0.528710742,0.313625543,0.466801119,0.341363541,0.510294679,0.752840079,0.56703999,0.707389476,0.917120054,0.125923997,0.285055613,0.877553298,0.266867878,0.549438346,0.399370414
25,0.731362562,0.834815148,0.855641625,0.177601646,0.776574599,0.852658912,0.663621211,0.560858722,0.133585022,0.835619178,0.596867395,0.945832232,0.278958877,0.79276722,0.973064947,0.124019196,0.754178861,0.961183133,-0.005096139,0.358289949,0.729322865
45,0.602047976,0.816719535,0.827560543,0.572831844,0.73744006,0.851578296,0.599610587,0.532207282,0.260119389,0.82320247,0.54996629,0.963432861,0.572055072,0.767409691,0.979880956,0.461277296,0.763933643,0.967156905,0.312919215,0.652300457,0.741574411
65,0.829301579,0.823495283,0.817390909,0.267937843,0.886597805,0.803286686,0.579906806,0.525905207,0.115921867,0.954637505,0.519535737,0.971075262,0.454524429,0.69563758,0.982183346,0.357669406,0.674205496,0.973347217,0.136736888,0.537908676,0.647847322
85,0.800024566,0.821740975,0.83036171,0.265304884,0.904395618,0.828540087,0.621969771,0.572142737,0.157568359,0.89114654,0.579531101,0.940006835,0.396510868,0.715112252,0.973368418,0.209947778,0.715935382,0.952265801,0.18427026,0.470701972,0.704495507
105,0.778567925,0.747876617,0.749814068,0.132466649,0.868305351,0.725706688,0.468448932,0.389490768,0.042002559,0.942428135,0.388824449,0.938705939,0.350553473,0.598851536,0.967479437,0.165974507,0.577322428,0.947618845,0.017034125,0.440979709,0.539245614
125,0.689096934,0.651600333,0.651313714,0.408137578,0.833406207,0.67068316,0.637054146,0.476944368,0.404258064,0.676485752,0.571631605,0.933741442,0.578955197,0.775873308,0.974027935,0.405357076,0.757272713,0.946576524,0.370998408,0.657482836,0.756122262
145,0.884318251,0.796033784,0.789224631,0.26071156,0.916432351,0.780748543,0.545512,0.498781912,0.194177347,0.961961711,0.50880764,0.963627718,0.4115297,0.629491014,0.976904373,0.305724848,0.614146482,0.967946062,0.210827156,0.509164102,0.606536857
165,0.635263081,0.797598928,0.804297643,0.448941578,0.791189568,0.811132751,0.652145397,0.567945257,0.237715164,0.709456752,0.584407533,0.956186163,0.552479949,0.832721499,0.976218494,0.423792598,0.806264113,0.957550503,0.370759321,0.647088943,0.799352276
185,0.601837317,0.754368868,0.764681821,0.31785421,0.8066065,0.758400173,0.503564118,0.407551686,0.109604726,0.67905682,0.435955819,0.96053077,0.526081624,0.745402696,0.983183107,0.388159421,0.711162987,0.968218559,0.241533881,0.584616327,0.702918058
205,0.580824856,0.764515388,0.781372413,0.397241165,0.772962775,0.787156947,0.602547792,0.480014029,0.257037374,0.54264638,0.526164004,0.937492054,0.521781752,0.840005785,0.971340934,0.347109251,0.829927887,0.945060517,0.36192406,0.612441948,0.818990298
225,0.788430049,0.719478862,0.724038458,0.121385507,0.845075772,0.697629484,0.548050653,0.490489799,0.007422925,0.895465528,0.474090174,0.946463678,0.415025172,0.723935084,0.975300875,0.246661935,0.718124906,0.954910323,0.065041031,0.494190856,0.673421992
245,0.677443459,0.675656447,0.673476597,0.363736545,0.760763437,0.687500078,0.518719731,0.492375422,0.200647462,0.962138313,0.49778402,0.957094964,0.523344591,0.614506319,0.984041567,0.37579486,0.614108929,0.96810282,0.266492769,0.571798833,0.609987955
265,0.640740532,0.744077402,0.736770987,0.301892444,0.900958656,0.757193966,0.521343718,0.450868223,0.025632453,0.80007938,0.447996995,0.960470609,0.324159402,0.739946585,0.974292338,0.185640268,0.720598183,0.964339318,0.179098689,0.410034805,0.711186942
285,0.627479596,0.800140671,0.81112803,0.494119934,0.830537909,0.815101727,0.586808572,0.53203232,0.17599195,0.798671972,0.526541452,0.97108991,0.579089696,0.846426633,0.979986645,0.498222772,0.839431885,0.969175354,0.397049752,0.678610089,0.819939511
305,0.55667636,0.766901356,0.761227445,0.558834687,0.817346263,0.805855944,0.510120413,0.464118947,0.189875918,0.848286781,0.470473737,0.96630505,0.484249422,0.725364914,0.976255697,0.383546325,0.714864621,0.964474553,0.388256164,0.593254819,0.723273465
325,0.690056418,0.727912145,0.739627821,0.452925493,0.795983213,0.741018619,0.405599093,0.389348733,0.192704792,0.966569402,0.385222183,0.962373612,0.624607776,0.527224073,0.981098984,0.502116303,0.527189166,0.964179957,0.27775619,0.697040423,0.516382735
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
#ofNodes,DCvPR,DCvDgSq,DCvM,DCvSD,DCvSK,DCvMSD,,,,,,,,,,,,,,,
5,0.47928316,0.892259474,0.843592205,0.441222575,0.482788101,0.929521161,,,,,,,,,,,,,,,
25,0.731362562,0.834815148,0.855641625,0.177601646,0.776574599,0.852658912,,,,,,,,,,,,,,,
45,0.602047976,0.816719535,0.827560543,0.572831844,0.73744006,0.851578296,,,,,,,,,,,,,,,
65,0.829301579,0.823495283,0.817390909,0.267937843,0.886597805,0.803286686,,,,,,,,,,,,,,,
85,0.800024566,0.821740975,0.83036171,0.265304884,0.904395618,0.828540087,,,,,,,,,,,,,,,
105,0.778567925,0.747876617,0.749814068,0.132466649,0.868305351,0.725706688,,,,,,,,,,,,,,,
125,0.689096934,0.651600333,0.651313714,0.408137578,0.833406207,0.67068316,,,,,,,,,,,,,,,
145,0.884318251,0.796033784,0.789224631,0.26071156,0.916432351,0.780748543,,,,,,,,,,,,,,,
165,0.635263081,0.797598928,0.804297643,0.448941578,0.791189568,0.811132751,,,,,,,,,,,,,,,
185,0.601837317,0.754368868,0.764681821,0.31785421,0.8066065,0.758400173,,,,,,,,,,,,,,,
205,0.580824856,0.764515388,0.781372413,0.397241165,0.772962775,0.787156947,,,,,,,,,,,,,,,
225,0.788430049,0.719478862,0.724038458,0.121385507,0.845075772,0.697629484,,,,,,,,,,,,,,,
245,0.677443459,0.675656447,0.673476597,0.363736545,0.760763437,0.687500078,,,,,,,,,,,,,,,
265,0.640740532,0.744077402,0.736770987,0.301892444,0.900958656,0.757193966,,,,,,,,,,,,,,,
285,0.627479596,0.800140671,0.81112803,0.494119934,0.830537909,0.815101727,,,,,,,,,,,,,,,
305,0.55667636,0.766901356,0.761227445,0.558834687,0.817346263,0.805855944,,,,,,,,,,,,,,,
325,0.690056418,0.727912145,0.739627821,0.452925493,0.795983213,0.741018619,,,,,,,,,,,,,,,
